Name,Description,Model,Predictions
"Mosquito surveillance in Anastasia, Saint Johns County, Florida, USA. 2012",Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000286),gpt-3.5-turbo,Immunology	Environmental sciences	Infectious disease
"State-wide mosquito surveillance in Iowa, USA, 1979 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000427)",gpt-3.5-turbo,Environmental sciences\tMicrobiology\tInfectious disease
Oocyst wall proteome,A comprehensive analysis of the proteome of oocyst wall of Cryptosporidium parvum was performed using label-free qualitative high-performance liquid chromatography (HPLC) fractionation and mass spectrometry-based qualitative proteomics technologies.,gpt-3.5-turbo,Environmental sciences\tMicrobiology\tZoology
<i>Balamuthia mandrillaris</i> strain 2046 Genome Sequence,Genome Sequence of Balamuthia mandrillaris strain 2046,gpt-3.5-turbo,Proteomics   Biochemistry   Parasitology
"Mosquito surveillance in South Walton County, Florida, USA. 2016",Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000264),gpt-3.5-turbo,Genomics   Computational biology   Microbiology
<i>Emergomyces pasteurianus</i> Ep9510 Genome Sequence and Annotation,Genome Sequence and Annotation of Emergomyces pasteurianus Ep9510,gpt-3.5-turbo,Environmental sciences	Zoology	Public health and epidemiology
Promastigote Form Origins of Replication - early S and late S vs G2,"Origins of replication in L. mexicana MHOMGT2001U1103 determined by Marker Frequency 
        Analysis, a technique that compares frequency of the marker sequences in replicating and non-replicating cells.
        Whole genome DNA-Seq of FACS sorted promastigotes is presented as the 
        ratio (S- vs G2-phase) of the frequencies of markers (DNA-Seq reads) in 2.5 kb bins.",gpt-3.5-turbo,Genetics	Genomics	Microbiology
Asexual blood stage transcriptomes of clonal strains,Expression profiles of transcriptional variation between Plasmodium falciparum clonal strains (Cortes).,gpt-3.5-turbo,Genomics	Molecular biology	Cell biology
Comparative single-cell atlases of Babesia species: B. bovis,Comparative single-cell atlases of Babesia species in different hosts.,gpt-3.5-turbo,Transcriptomics	Comparative genomics	Biology
"A Novel Sampling Method to Measure Socioeconomic Drivers of Aedes albopictus Distribution in Mecklenburg County, North Carolina","Collection of Aedes albopictus in Mecklenburg County, North Carolina 2017. (MapVEu VBP0000356)",gpt-3.5-turbo,Comparative genomics   	Infectious disease   Zoology
<i>Colletotrichum graminicola</i> M1.001 Genome Sequence and Annotation,Genome Sequence and Annotation of Colletotrichum graminicola M1.001,gpt-3.5-turbo,Environmental sciences    Ecology    Genetics
Amazonian anophelines of the Nyssorhynchus subgenus sialotranscriptome,Salivary transcriptome of Amazonian Anopheles darlingi.,gpt-3.5-turbo,Genomics\tBioinformatics\tMolecular biology
Giardia Encystation Time Course,"Gene expression changes during encystation of Giardia intenstinalis, measured every 3.5 hr and analyzed by RNA sequence.",gpt-3.5-turbo,Transcriptomics\tGenomics\tParasitology
<i>Neospora caninum</i> Liverpool 2019 Genome Sequence and Annotation,Genome Sequence and Annotation of Neospora caninum Liverpool 2019,gpt-3.5-turbo,"Gene expression, Genetics, Parasitology"
Lipidome and palmitoylome for T. gondii,Chemical proteomic study to determine the lipidated and palmitoylated proteome of Toxoplasma gondii GT1.,gpt-3.5-turbo,Genomics   Computational biology   Parasitology
<i>Gallus gallus</i> isolate bGalGal1 Genome Sequence and Annotation,Genome Sequence and Annotation of Gallus gallus isolate bGalGal1,gpt-3.5-turbo,Biochemistry	Molecular biology	Parasitology
<i>Coprinopsis cinerea</i> #326 Genome Sequence and Annotation,Genome Sequence and Annotation of Coprinopsis cinerea #326,gpt-3.5-turbo,Genetics	Molecular biology	Genomics
"Mosquito surveillance in Marion County, Indiana, USA. 2010",Mosquito surveillance from the Marion County Health Deparment surveillance program to survey mosquito populations. (MapVEu VBP0000332),gpt-3.5-turbo,Genomics	Annotation	Biology
Tissue-enriched expression profiles in Aedes aegypti identify hemocyte-specific transcriptome responses to infection,Hemocyte-enriched gene expression was assayed by comparing expression in hemolymph vs carcass in adult female Aedes aegypti mosquitoes. Naive uninfected and pathogenic bacteria-infected mosquitoes were tested separately.,gpt-3.5-turbo,Environmental sciences   Entomology   Public health and epidemiology
Transcriptome,"The house fly Musca domestica, a significant vector of human and animal diseases, is a cosmopolitan and ubiquitous dipteran insect. The M. domestica transcriptome, in addition to establishing a fundamental resource for further research on functional genomics, has allowed the discovery of a large group of immune genes that might provide a meaningful framework to better understand the immune response in insects.",gpt-3.5-turbo,"Animal study
Genomics
Infectious disease"
C hominis isolates from 4 African locations (C. parvum aligned),"Whole genome sequence and SNP analysis of the genomes of 26 C. hominis isolates, representing different gp60 subtypes, collected at rural sites in Gabon, Ghana, Madagascar and Tanzania",gpt-3.5-turbo,Biology	Functional genomics	Immunology
<i>Acanthamoeba sp.</i> SK_2022b Genome Sequence,Genome Sequence of Acanthamoeba sp SK_2022b,gpt-3.5-turbo,Genomics  	Microbiology  	Parasitology
Parasite rupture from erythrocyte (D10),Proteome during parasite rupture from erythrocyte - P. falciparum clone D10,gpt-3.5-turbo,Genomics   Molecular biology   Microbiology
"Mosquito surveillance,  Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2017","Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho,  USA, using EVS (Encephalitis Vector Survey) traps and gravid traps. (MapVEu VBP0000385)",gpt-3.5-turbo,Parasitology	Proteomics	Infectious disease
Predicted full length transcripts (ESTs),P. falciparum 3D7 predicted full length transcript sequences.,gpt-3.5-turbo,Environmental sciences	Zoology	Public health and epidemiology
Female lower reproductive tract 20E injection in Anopheles gambiae,"Gene expression in the Anopheles gambiae female lower reproductive tract, comprising of the atrium and spermatheca, was measured in and compared between mosquitoes injected with steroid hormone 20-hydroxyecdysone (20E) and ethanol (10%). Transcriptional profile compared across 4 biological replicates using Agilent two-color microarrays.",gpt-3.5-turbo,Transcriptomics   Genetics   Parasitology
The Risk of Exposure to Ticks and Tick-Borne Pathogens in a Spa Town in Northern Poland,The aim of this study was to determine the potential risk of human exposure to tick-borne infection in a recreation areas in a spa town located in northern Poland.,gpt-3.5-turbo,"Gene expression, Genetics, Reproductive health"
DNA Barcodes Can Distinguish Species of Indian Mosquitoes (Diptera: Culicidae),DNA barcoding as an alternative to morphological species identification of mosquitoes in India (MapVEu VBP0000349),gpt-3.5-turbo,Environmental sciences	Public health and epidemiology	Infectious disease
<i>Anopheles albimanus</i> STECLA Genome Sequence and Annotation,Genome Sequence and Annotation for Anopheles albimanus STECLA,gpt-3.5-turbo,Biodiversity	Molecular biology	Genetics
Transcriptome of sporozoites and HTC-8 infection time course,"Transcriptomes of freshly excysted C. parvum sporozoites as well as parasites collected  
    48- and 96- hours post-infection in HTC8 cells were determined by SOLiD, paired end, strand-specific RNA-Seq.",gpt-3.5-turbo,Genomics    DNA    Genome Sequence and Annotation
Sand Fly Genome Project - Phlebotomus,"The genomes of two different phlebotomine sand flies, P. papatasi and Lu. longipalpis, that exhibit distinct distributions, behavior, and pathogen specificity were sequenced and assembled.  P. papatasi is a restrictive vector, transmitting only Le. major parasites and is widely distributed in the Old World.  Lu. longipalpis is distributed  throughout Central and South America and although considered a permissive vector in laboratory conditions, only transmits Le. infantum naturally.  The population structure of P. papatasi collected over a large geographical range in the Middle East and North Africa and Lu. longipalis incipient species from Brazil was also assessed.",gpt-3.5-turbo,Transcriptomics    Parasitology    Infectious disease
<i>Fusarium odoratissimum</i> strain race 4 Genome Sequence and Annotation,Fusarium odoratissimum strain race 4 Genome Sequence and Annotation,gpt-3.5-turbo,Genomics	Population genetics	Parasitology
<i>Anopheles stephensi</i> UCISS2018 Genome Sequence and Annotation,This new genome is assembled at the chromosome level and has a gene set prediction.,gpt-3.5-turbo,Genomics\tMicrobiology\tBioinformatics
Karolinska Institutet MTC Oligo Array,Probe sequences of the Karolinska Institutet MTC P. falciparum Oligo Array. Zoom to 20K or less to see the probe glyphs.,gpt-3.5-turbo,Genetics\tGenomics\tSequence assembly
Small RNA and antisense transcription in E invadens,Transcriptome analysis  E invadens IP1 to include small RNA sequences for determining antisense transcription and transcription start sites.,gpt-3.5-turbo,Bioinformatics	Evolutionary biology	Molecular biology
<i>Plasmodium falciparum</i> 7G8 Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium falciparum 7G8,gpt-3.5-turbo,Transcriptomics   RNA   Antisense transcription
Single end whole genome sequencing and comparative genomic analysis (C. hominis aligned),Whole genome sequencing of Cryptosporidium hominis subtypes,gpt-3.5-turbo,Genomics  	Bioinformatics  	Parasitology
<i>Plasmodium falciparum</i> KE01 Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium falciparum KE01,gpt-3.5-turbo,Comparative genomics   Genomics   Infectious disease
<i>Plasmodium falciparum</i> KH02 Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium falciparum KH02,gpt-3.5-turbo,Genomics  	Biology	Molecular biology
Insecticide resistant vs susceptible,A comparison of mRNA profiles of insecticide (deltamethrin) resistant and susceptible strains.,gpt-3.5-turbo,Genomics	Genetics	Molecular biology
Sand Fly Genome Project - Phlebotomus,"The genomes of two different phlebotomine sand flies, P. papatasi and Lu. longipalpis, that exhibit distinct distributions, behavior, and pathogen specificity were sequenced and assembled.  P. papatasi is a restrictive vector, transmitting only Le. major parasites and is widely distributed in the Old World.  Lu. longipalpis is distributed  throughout Central and South America and although considered a permissive vector in laboratory conditions, only transmits Le. infantum naturally.  The population structure of P. papatasi collected over a large geographical range in the Middle East and North Africa and Lu. longipalis incipient species from Brazil was also assessed. (MapVEu VBP0000504)",gpt-3.5-turbo,Genetics	Taxonomy	Molecular biology
"Knockdown resistance (kdr) of the voltage-gated sodium channel gene of Aedes aegypti population in Denpasar, Bali, Indonesia","Aedes aegypti is the main vector of several arthropod-borne viral infections in the tropics profoundly affecting humans, such as dengue fever (DF), West Nile (WN), chikungunya and more recently Zika. Eradication of Aedes still largely depends on insecticides, which is the most cost-effective strategy, and often inefficient due to resistance development in exposed Aedes populations. We here conducted a study of Ae. aegypti resistance towards several insecticides regularly used in the city of Denpasar, Bali, Indonesia. Aedes aegypti egg samples were collected with ovitraps and thereafter hatched in the insectary of the Gadjah Mada University. The F0 generation was used for all bioassay-related experiments and knockdown resistance (kdr) assays. (MapVEu VBP0000189)",gpt-3.5-turbo,Genomics   Molecular biology   Parasitology
Central Nervous System transcriptome,"Central nervous systems were microdissected from adult male and female R. prolixus  at different times post-blood meal (PBM): unfed, 1 h PBM, 4 h PBM and 24 h PBM. The cDNA libraries produced (unfed, 1 h, 4 h and 24 h PBM) were independently sequenced using the HiSeq 2000 platform (Illumina) at the Goettingen University sequencing facility (Germany). The four libraries data was joined in a unique data set which was equally representative in number of reads for each sample.",gpt-3.5-turbo,Infectious disease   Genetics   Genomics
<i>Plasmodium knowlesi</i> strain H Genome Sequence and Annotation,Genome sequence and annotation for Plasmodium knowlesi H,gpt-3.5-turbo,Transcriptomics    Computational biology    Neuroscience
RNAP II ChIP-seq data,RNAP II ChIP-Seq in Talaromyces marneffei,gpt-3.5-turbo,Genomics	Parasitology	Biology
"Genetic evidence for the origin of Aedes aegypti, the yellow fever mosquito, in the southwestern Indian Ocean","Re‐evaluation of the evolutionary history of Ae. aegypti and these relatives, using three data sets: nucleotide sequence data, 18,489 SNPs and 12 microsatellites. (MapVEu VBP0000713)",gpt-3.5-turbo,"Bioinformatics	Computational biology	Data submission, annotation, and curation"
Intraerythrocytic development cycle transcriptome by UTR-Seq (2020),"Transcriptome throughout the intraerythrocytic development cycle. RNA sequence analysis of 7 time points (0, 8, 16, 24, 32, 40, 48 hrs) post infection of tightly synchronized Plasmodium falciparum 3D7.",gpt-3.5-turbo,Genetics\tEvolutionary biology\tEntomology
Montana State University mosquito data for 2012,"2012 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000708)",gpt-3.5-turbo,Transcriptomics	Microbiology	Parasitology
"Implication of Anopheles funestus in malaria transmission in the city of Yaounde, Cameroon","Adult mosquitoes were collected using Centers for Disease Control and Prevention miniature light traps and human landing catches from April 2017 to March 2018 and were identified morphologically to the species level. Those belonging to the Anopheles gambiae complex and to the Anopheles funestus group were further processed by PCR to identify members of each complex/group. Bioassays were conducted with 2-5-day-old female Anopheles funestus and An. gambiae s.l. to determine their susceptibility to permethrin, deltamethrin and dichlorodiphenyltrichloroethane. (MapVEu VBP0000690)",gpt-3.5-turbo,Entomology	Zoology	Microbial ecology
<i>Babesia sp. Xinjiang</i> Xinjiang Genome Sequence and Annotation,Genome sequence and annotation for Babesia sp. Xinjiang Xinjiang,gpt-3.5-turbo,Parasitology	Medicine	Public health and epidemiology
Biomphalaria glabrata Transcriptome or Gene expression,"Biomphalaria glabrata transcriptome, mixed embryonic and adult sample, disease free",gpt-3.5-turbo,Genomics\tParasitology\tGenetics
<i>Saprolegnia parasitica</i> CBS 223.65 Genome Sequence and Annotation,Genome sequence and annotation for Saprolegnia parasitica CBS 223.65.,gpt-3.5-turbo,Transcriptomics\tGene expression\tBiology
Transcript Profiling of Developmental Stages - High Producer (HP/HPE),"Expression data for P. berghei rings, young trophozoite, young schizont, mature schizont 
   using mature trophozoite as reference.",gpt-3.5-turbo,Genomics\tMicrobiology\tGenetic variation
<i>Hortaea werneckii</i> EXF-2000 Genome Sequence and Annotation,Genome Sequence and Annotation of Hortaea werneckii EXF-2000,gpt-3.5-turbo,Developmental biology   Transcriptomics   Parasitology
<i>Phanerochaete chrysosporium</i> RP-78 Genome Sequence and Annotation,Genome sequence and annotation for Phanerochaete chrysosporium RP-78.,gpt-3.5-turbo,Genomics   Molecular biology   Microbiology
Phosphopeptide enriched sample (strain A1166),Aspergillus nidulans Phosphoproteome,gpt-3.5-turbo,Genomics	Annotation	Biology
Determination of BB transcriptome,Determination of BB transcriptome,gpt-3.5-turbo,Bioinformatics  	Biochemistry  	Proteomics
Aligned BAC End Sequences (RPCI93 library),T.brucei BAC End genome sequences from library RPCI93.,gpt-3.5-turbo,Transcriptomics	genetics	genomics
<i>Haemoproteus tartakovskyi</i> strain SISKIN1 Genome Sequence and Annotation,Genome Sequence and Annotation of Haemoproteus tartakovskyi strain SISKIN1,gpt-3.5-turbo,Bioinformatics	Molecular biology	Genomics
"Fine-scale spatial and temporal heterogeneities in insecticide resistance profiles of the malaria vector, Anopheles arabiensis in rural south-eastern Tanzania","WHO insecticide susceptibility assays were conducted on female and male An. arabiensis from three proximal villages, Minepa, Lupiro, and Mavimba, during dry (June-December 2015) and wet (January-May 2016) seasons. A hydrolysis probe assay was used to screen for L1014F and L1014S mutations in specimens resistant to DDT or pyrethroids. (MapVEu VBP0000273)",gpt-3.5-turbo,Genomics	Annotation	Parasitology
RNA-Seq Trichophyton rubrum and HaCat Keratinocyte Co-Culture,The transcriptional profile of T. rubrum and keratinocytes co-culture was assessed using the RNA-sequencing technique in order to provide new insights about fungal-host interaction.,gpt-3.5-turbo,Infectious disease	Zoology	Molecular biology
Diurnal biting of malaria mosquitoes in the Central African Republic indicates residual transmission may be &#8220;out of control&#8221;,"Mosquito collections 48-h around the clock, both indoors and outdoors, in urban Bangui, Central African Republic.",gpt-3.5-turbo,Transcriptomics	RNA	Microbiology
<i>Leishmania braziliensis</i> MHOM/BR/75/M2904 2019 Genome Sequence and Annotation,Genome sequence and annotation for Leishmania braziliensis strain MHOM/BR/75/M2904 2019 genome sequence and annotation.,gpt-3.5-turbo,Entomology	Medical informatics	Public health and epidemiology
Antennal transcriptome expression profiles following a blood meal,"Time course antennal transcriptiome from post blood fed and non-blood fed female mosquitoes  Anopheles gambiae  mosquitoes [(SUA 2La/2La), an M-form isolate originating from Suakoko, Liberia.] Over the 2 d following blood feeding, ∼200 female mosquitoes were collected from each cohort at each of the five sequential, post–blood-feeding time points (1, 12, 24, 36, and 48 h) and antennae were resected for RNA isolation.",gpt-3.5-turbo,Genomics	Genetics	Parasitology
Exit trap collections from southern Mozambique,Mosquito abundance in southern Mozambique (MapVEu VBP0000686),gpt-3.5-turbo,Transcriptomics	Cell biology	Genomics
North Carolina ovitrap survey of container Aedes mosquitoes (centroids),A statewide survey of container Aedes mosquitoes (Diptera':' Culicidae) in North Carolina. This subset of the data has centroid GPS points. (MapVEu VBP0000368),gpt-3.5-turbo,"Environmental sciences
Microbiology
Parasitology"
<i>Glossina austeni</i> TTRI Genome Sequence and Annotation,Genome Sequence and Annotation for Glossina austeni TTRI,gpt-3.5-turbo,Environmental sciences	Mapping	Microbiology
<i>Leishmania tropica</i> L590 Genome Sequence and Annotation,Genome Sequence and Annotation of Leishmania tropica L590,gpt-3.5-turbo,Genomics	Animal study	Biology
Genetic Map,P. falciparum Genetic Map from Su Lab,gpt-3.5-turbo,Genomics	Parasitology	Microbiology
Genome Survey Sequence Array probe sequences,Probe sequences from the P. berghei Genome Survey Sequence DNA microarray. Zoom to 20K or less to see the probe glyphs.,gpt-3.5-turbo,Genetics	Molecular biology	Genomics
<i>Saccharomyces paradoxus</i> CBS432 Genome Sequence and Annotation,Genome Sequence and Annotation of Saccharomyces paradoxus CBS432,gpt-3.5-turbo,Bioinformatics   Computational biology   Genetics
"Mosquito surveillance in Manatee County, Florida, USA. 2014",Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000254),gpt-3.5-turbo,Genomics	Genome annotation	Molecular biology
Hypnozoite RNA-Seq,P. vivax hypnozoite RNA-Seq,gpt-3.5-turbo,Environmental sciences   Public health and epidemiology   Vector surveillance
Mouse brain bradyzoite proteomics time course,"Proteomic analysis (mapped peptides) of bradyzoites purified from mouse brain cysts at 21 days, 28 days, 3 months, 4 months and 5 months post infection",gpt-3.5-turbo,"RNA, Parasitology, Genomics"
<i>Cenococcum geophilum</i> 1.58 Genome Sequence and Annotation,Genome sequence and annotation for Cenococcum geophilum 1.58.,gpt-3.5-turbo,Animal study\tProteomics\tInfectious disease
<i>Mucor circinelloides</i> 1006PhL Genome Sequence and Annotation,Genome sequence and annotation for Mucor circinelloides 1006PhL.,gpt-3.5-turbo,Genomics  	Microbiology  	Biology
<i>Plasmodium praefalciparum</i> strain G01 Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium praefalciparum strain G01,gpt-3.5-turbo,Genomics	Annotation	Biology
Transcriptomes of 46 malaria-infected Gambian children,Dual transcriptomic analysis of human and Plasmodium from blood of 46 Gambian children diagnosed with malaria.,gpt-3.5-turbo,Genomics	Parasitology	Biology
Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda,"The susceptibility status of An. gambiae and An. funestus to bendiocarb, permethrin and deltamethrin was determined using the CDC bottle bioassay. (MapVEu VBP0000276)",gpt-3.5-turbo,Infectious disease	Pathology	Transcriptomics
<i>Neurospora tetrasperma</i> FGSC 2508 Genome Sequence and Annotation,Genome sequence and annotation for Neurospora tetrasperma FGSC 2508.,gpt-3.5-turbo,Infectious disease	Public health and epidemiology	Parasitology
Preliminary assessment of the potential role of urbanization in the distribution of carbamate and organophosphate resistant populations of Culex species in Ghana,"Mosquito larvae were sampled from various land use and ecological settings and in different seasons. In adults, susceptibility to organophosphates (fenitrothion, malathion) and carbamates (propoxur, bendiocarb) were determined. Mixed function oxidase (MFO) and α- and β-esterase assays, as well as a PCR diagnostic assay to determine ace1 mutation were performed in individual mosquitoes. (MapVEu VBP0000147)",gpt-3.5-turbo,Genomics	Genome sequence analysis	Sequence analysis
Provisional gene annotations,"Annotation of the P. yoelii 17XNL genome obtained from Stefan Kappe, 2009-03-25. 
      Includes gene models inferred from orthology.",gpt-3.5-turbo,"Environmental sciences	I
Infectious disease
Veterinary medicine"
V1016G kdr mutation genotyping of Aedes albopictus in Europe,"The project allowed the genotyping 2,530 Ae. albopictus specimens from 69 sampling sites in 19 European countries.",gpt-3.5-turbo,Bioinformatics	Molecular biology	Genomics
"Probing functional polymorphisms in the dengue vector, Aedes aegypti",Characterisation of SNP markers in three strains of Aedes aegypti (MapVEu VBP0000015),gpt-3.5-turbo,Genetics  	Data acquisition  	Ecology
Spliced Leader And Poly A Sites,L. major RNA-Seq Spliced Leader And Poly A Sites from Myler.,gpt-3.5-turbo,Genetics	Functional genomics	Biotechnology
<i>Cryptosporidium parvum</i> IOWA-ATCC Genome Sequence and Annotation,Cryptosporidium parvum strain IOWA ATCC sequence and annotation,gpt-3.5-turbo,RNA splicing   Computational biology   Bioinformatics
Generic RNA-Seq for gene prediction,RNA-Seq of 15 genomes of Anopheles,gpt-3.5-turbo,Genomics	Genetics	Parasitology
"Insecticide resistance development in Culex quinquefasciatus (Say), Aedes aegypti (L.) and Aedes albopictus (Skuse) larvae against malathion, permethrin and temephos",Insecticide resistance study imported from IRBase. (MapVEu VBP0000022),gpt-3.5-turbo,Bioinformatics	RNA	Genomics
Sequencing voltage-sensitive sodium channel cDNA,The aim of this project is to sequence VGSC cDNA of pyrethroid-resistant asian-tiger mosquitoes (Aedes albopictus) and discover novel resistant associated mutations.,gpt-3.5-turbo,Environmental sciences    Veterinary medicine	Zoology
"Species composition and insecticide resistance status of Anopheles gambiae (s.l.) (Culicidae) in Kome, southern Chad and the implications for malaria control","Mosquito larvae were collected from temporary rain-filled and semi-permanent breeding places at two sites and reared in a laboratory. Emerging Anopheles gambiae (senso lato) (s.l.) adults were morphologically identified, sorted and evaluated for susceptibility to WHOPES recommended insecticides. Standardized biomolecular and biochemical methods were used to determine sibling species and molecular forms: knockdown resistant alleles (kdr-w) for pyrethroids and DDT; acetylcholinesterase-1 resistant alleles for organophosphate and carbamates; biochemical resistance through measurement of the levels of non-specific esterase (α and β), oxidase and glutathione-s-transferases activities. (MapVEu VBP0000153)",gpt-3.5-turbo,Genetics	Pharmacology	Molecular biology
Transcriptome in normal culture conditions,RNA-Seq to generate transcriptome map of Chromera velia under a normal culturing condition.,gpt-3.5-turbo,Environmental sciences	Tropical medicine	Infectious disease
<i>Puccinia striiformis</i> strain 93-210 Genome Sequence and Annotation,Genome Sequence and Annotation for Puccinia striiformis strain 93-210,gpt-3.5-turbo,Transcriptomics	Data acquisition	Biology
<i>Acanthamoeba sp.</i> Incertae_sedis Genome Sequence,Acanthamoeba sp Incertae sedis genome sequence,gpt-3.5-turbo,Genomics	Annotation	Biology
Climate and Urbanization Drive Mosquito Preference for Humans,Collections of African populations of Ae. aegypti. (MapVEu VBP0000685),gpt-3.5-turbo,Genomics   Microbiology   Molecular biology
Manually curated phenotypes from MagnaGenes database,Manually curated phenotypes for Pyricularia oryzae from the MagnaGenes database.,gpt-3.5-turbo,Environmental sciences	parasitology	Wildlife biology
Gene expression levels in Anopheles male reproductive organs (An. merus),Gene expression was determined for Male accessory gland and testes,gpt-3.5-turbo,Genetics	Molecular biology	Biosciences
<i>Trypanosoma cruzi</i> strain Ycl2 Genome Sequence,Genome Sequence for Trypanosoma cruzi strain Ycl2,gpt-3.5-turbo,"Gene expression
Anatomy
Biology"
<i>Cryptococcus gattii VGI</i> NT10 Genome Sequence and Annotation,Genome sequence and annotation for Cryptococcus gattii NT-10.,gpt-3.5-turbo,Genomics   Parasitology   Genetics
Comparative insecticidal power of three pyrethroids on netting.,Insecticide resistance study imported from IRBase. Study undertaken for the PSI/Malawi/ITN project as part of the Blantyre Integrated Malaria Initiative using standard polyester bednets. (MapVEu VBP0000109),gpt-3.5-turbo,Genomics   Bioinformatics   Molecular biology
"Mosquito surveillance in Anastasia, Saint Johns County, Florida, USA. 2008",Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000282),gpt-3.5-turbo,Environmental sciences    Infectious disease    Parasitology
"Origin of a High-Latitude Population of Aedes aegypti in Washington, DC","An overwintering population of Aedes aegypti has been documented in the Capitol Hill neighborhood of
 Washington, DC, since 2011. Mitochondrial cytochrome oxidase I (mtCOI) sequence data presented in a previous
 study traced the origin to the New World. Here, we use microsatellite and SNP chip data along with more
mitochondrial DNA (mtDNA) sequences on Washington Ae. aegypti samples and samples from potential sources to
 further narrow the origin of this population. Genetically, Washington Ae. aegypti are closest to populations in
Florida, meaning this is the most likely source. Florida experienced the first mosquito-borne transmission of dengue
in the United States after decades of absence of this disease, as well as local transmission of chikungunya and Zika
in recent years. This indicates that the Capitol Hill, Washington, DC population of Ae. aegypti is capable of
 transmitting viruses such as dengue, chikungunya, and Zika in modern US city environments. (MapVEu VBP0000201)",gpt-3.5-turbo,Environmental sciences    Ecology    Zoology
Transcriptome of injected neurons and bystanders during Toxoplasma infection,Transcriptome of type II and type III Toxoplasma injected mouse neurons and bystanders during infection.,gpt-3.5-turbo,Infectious disease	Population genetics	Environmental sciences
<i>Aspergillus fischeri</i> NRRL 181 Genome Sequence and Annotation,Genome sequence and annotation for Aspergillus fischeri NRRL 181.,gpt-3.5-turbo,Transcriptomics    Infectious disease    Animal study
Aspergillus fumigatus response to hypoxia,A. fumigatus adaptation to hypoxic environment.,gpt-3.5-turbo,Genomics	Annotation	Microbiology
Comparative proteomics of bloodstream and procyclic forms - Quantitative (T.b. 427),Quantitative Comparison of T. brucei 427 procyclic and bloodstream form trypanosomes via SILAC proteomic analysis.,gpt-3.5-turbo,Microbiology   Environmental sciences   Bioinformatics
Females physiological stress,"Overall, the study aims at obtaining a comprehensive picture of the African malaria mosquito, Anopheles gambiae, transcriptome using high-coverage RNA-Seq of sexed whole-insect samples.  This experiment focuses on transcriptomes of females subjected to physiological stress. The samples include adult females collected at different time intervals subject to sub-optimal relative humidity, after exposure to sublethal dose of deltamethrin, or following blood-feeding. Females kept at standard laboratory conditions without exposure to stressors, were collected at the same time intervals as control samples.",gpt-3.5-turbo,Comparative genomics     Biomarkers     Proteomics
"Mosquito surveillance in Manatee County, Florida, USA. 2015",Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000255),gpt-3.5-turbo,Transcriptomics    Genetics    Molecular biology
ESTs in TvLG library,T. vaginalis G3 EST sequences,gpt-3.5-turbo,Environmental sciences   Public health and epidemiology   Infectious disease
Blood stage transcriptome (3D7),Transcriptome analysis of P. falciparum 3D7 at seven time points during the intraerythrocytic developmental cycle,gpt-3.5-turbo,Bioinformatics	Cell biology	Genetics
Molecular mechanisms associated with increased tolerance to the neonicotinoid insecticide imidacloprid in the dengue vector Aedes aegypti,"Gene expression in larvae and adults of the Imida-R imidacloprid insecticide resistant strain of Aedes aegypti is compared with expression in a susceptible strain, Bora-Bora, using an Agilent technologies microarray with 60mer probes targeting 14192 genes.",gpt-3.5-turbo,Transcriptomics	Parasitology	Infectious disease
"Mosquito surveillance in Salt Lake County, Utah, USA. 2018",Mosquito surveillance from the Salt Lake City Mosquito Abatement District program to survey mosquito populations. (MapVEu VBP0000646),gpt-3.5-turbo,Genetics	Molecular biology	Gene expression
<i>Cryptococcus neoformans</i> var. grubii H99 Genome Sequence and Annotation,Genome sequence and annotation for Cryptococcus neoformans var. grubii H99.,gpt-3.5-turbo,Environmental sciences	Population genetics	Public health and epidemiology
The Stegomyia survey and susceptibility status of Aedes aegypti to insecticides in Calcutta India Seaport area,Insecticide resistance study imported from IRBase. (MapVEu VBP0000099),gpt-3.5-turbo,Genomics	Annotation	Biology
Merozoite transcriptome,Merozoite transcriptome for Babesia sp Xinjiang  determined by Illumina sequencing.,gpt-3.5-turbo,Infectious disease	Public health and epidemiology	Entomology
Aligned SNPs - Aspergillus fumigatus Af1163 strain,Whole genome paired end Illumina sequencing of A. fumigatus Af1163 strain,gpt-3.5-turbo,Transcriptomics\tParasitology\tGenomics
<i>Trichomonas tenax</i> strain NIH4 ATCC 30207 Genome Sequence,Genome Sequence of Trichomonas tenax strain NIH4 ATCC 30207,gpt-3.5-turbo,Genetics	Computational biology	Microbiology
