Data Repository,_id,Name,Description,Topics,Predictions,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
Omics Discovery Index (OmicsDI),E-GEOD-51501,Comparison of microRNA Profiling Platforms (BeadChip),"Global miRNA expression profiling of human malignancies is gaining popularity in both basic and clinically driven research. But to date, the majority of such analyses have used microarrays and quantitative real-time PCR. With the introduction of digital count technologies, such as next-generation sequencing (NGS) and the NanoString nCounter System, we have at our disposal, many more options. To make effective use of these different platforms, the strengths and pitfalls of several miRNA profiling technologies were assessed, including a microarray platform, NGS technologies and the NanoString nCounter System. These results were compared to gold-standard quantitative real-time PCR. Comparison of non-small cell lung cancer cell lines grown in vitro (n = 5) and in vivo (n = 5) as xenograft models.",[Laboratory techniques | Experimental design and studies | Gene expression],"{'Comparative genomics', 'Transcriptomics', 'Biomarkers'}",0.0,0.0,0.0,"{'Gene expression', 'Laboratory techniques', 'Experimental design and studies'}","{'Comparative genomics', 'Biomarkers', 'Transcriptomics'}",0.8259259259,0.0,1.0,1.0,0.8259259259
Omics Discovery Index (OmicsDI),S-EPMC3615709,Control of tumor bioenergetics and survival stress signaling by mitochondrial HSP90s.,"Tumors successfully adapt to constantly changing intra- and extracellular environments, but the wirings of this process are still largely elusive. Here, we show that heat-shock-protein-90-directed protein folding in mitochondria, but not cytosol, maintains energy production in tumor cells. Interference with this process activates a signaling network that involves phosphorylation of nutrient-sensing AMP-activated kinase, inhibition of rapamycin-sensitive mTOR complex 1, induction of autophagy, and expression of an endoplasmic reticulum unfolded protein response. This signaling network confers a survival and proliferative advantage to genetically disparate tumors, and correlates with worse outcome in lung cancer patients. Therefore, mitochondrial heat shock protein 90s are adaptive regulators of tumor bioenergetics and tractable targets for cancer therapy.","[Oncology | Molecular interactions, pathways and networks | Respiratory medicine]","{'Oncology', 'Biochemistry'}",0.25,0.5,0.3333333333,"{'Molecular interactions, pathways and networks', 'Respiratory medicine'}",{'Biochemistry'},0.8928571429,0.0,1.5,1.0,0.8928571429
Omics Discovery Index (OmicsDI),S-EPMC6925457,Dataset for file fragment classification of audio file formats.,"OBJECTIVES:File fragment classification of audio file formats is a topic of interest in network forensics. There are a few publicly available datasets of files with audio formats. Therewith, there is no public dataset for file fragments of audio file formats. So, a big research challenge in file fragment classification of audio file formats is to compare the performance of the developed methods over the same datasets. DATA DESCRIPTION:In this study, we present a dataset that contains file fragments of 20 audio file formats: AMR, AMR-WB, AAC, AIFF, CVSD, FLAC, GSM-FR, iLBC, Microsoft ADPCM, MP3, PCM, WMA, A-Law, µ-Law, G.726, G.729, Microsoft GSM, OGG Vorbis, OPUS, and SPEEX. Corresponding to each format, the dataset contains the file fragments of audio files with different compression settings. For each pair of file format and compression setting, 210 file fragments are provided. Totally, the dataset contains 20,160 file fragments.",[Data management],"{'Bioinformatics', 'Sequence analysis', 'Proteomics'}",0.0,0.0,0.0,{'Data management'},"{'Bioinformatics', 'Sequence analysis', 'Proteomics'}",0.0,0.0,0.3333333333,0.3333333333,0.0
Omics Discovery Index (OmicsDI),S-EPMC7073204,Emerging Potential of Exosomes in Regenerative Medicine for Temporomandibular Joint Osteoarthritis.,"Exosomes are nanosized vesicles (30-140 nm) of endocytic origin that play important roles in regenerative medicine. They are derived from cell membranes during endocytic internalization and stabilize in biological fluids such as blood and synovia. Temporomandibular joint osteoarthritis (TMJ OA) is a degenerative disease, which, in addition to chronic pain, is characterized by progressive cartilage breakdown, condylar bone remodeling, and synovitis. However, traditional clinical treatments have limited symptom- and structure-modifying effects to restore damaged cartilage and other TMJ tissues. This is due to the limited self-healing capacity of condylar cartilage. Recently, stem-cell-derived exosomes have been studied as an alternative therapeutic approach to tissue repair and regeneration. It is known that trophic regulation of mesenchymal stem cells (MSCs) has anti-inflammatory and immunomodulatory effects under pathological conditions, and research on MSC-derived exosomes is rapidly accumulating. MSC-derived exosomes mimic the major therapeutic effects of MSCs. They affect the activity of immune effector cells and possess multilineage differentiation potential, including chondrogenic and osteogenic differentiation. Furthermore, exosomes are capable of regenerating cartilage or osseous compartments and restoring injured tissues and can treat dysfunction and pain caused by TMJ OA. In this review, we looked at the uniqueness of TMJ, the pathogenesis of TMJ OA, and the potential role of MSC-derived exosomes for TMJ cartilage and bone regeneration.",[Regenerative medine | Dentistry | Musculoskeletal medicine],"{'Medicine', 'Regenerative medicine', 'Molecular biology'}",0.2,0.3333333333,0.3333333333,"{'Dentistry', 'Musculoskeletal medicine'}","{'Medicine', 'Molecular biology'}",0.9172619048,0.0,1.0,1.0,0.9172619048
Omics Discovery Index (OmicsDI),S-EPMC5123166,"Facial Dystonia with Facial Grimacing and Vertical Gaze Palsy with ""Round the Houses"" Sign in a 29-Year-Old Woman.","A 29-year-old woman developed progressive dysarthria and coordination problems from the age of 15. Examination showed dysarthria, facial dystonia, bibrachial dystonia, hyperreflexia, ataxia, and emotional incontinence. Downward supranuclear gaze palsy was prominent with a ""Round the Houses"" sign. Magnetic resonance imaging of the brain and medulla, electroneurography, and cerebrospinal fluid were normal. A computed tomography scan showed hepatosplenomegaly. This combination of progressive neurological symptoms together with hepatosplenomegaly was suggestive of inborn error of metabolism. A bone marrow biopsy showed an increased number of macrophages with foamy content, highly suggestive of lysosomal disease. Plasmatic chitotriosidase activity and CCL18 were increased. Genetic testing showed heterozygosis for the variation c.1070C?T (p.Ser357Leu) and c.1843?T (Arg615Cys), confirming the diagnosis of Niemann-Pick type C (NPC). The ""Round the Houses"" sign has only been described in patients with progressive supranuclear palsy (PSP). This sign is described as an inability to produce pure vertical saccades along the midline and instead moving the eyes in a lateral arc to accomplish the movement. The observation of this sign in a patient with NPC indicates that this bedside finding is not specific for PSP, but a sign of medial longitudinal fasciculus dysfunction. The presence of facial dystonia with facial grimacing together with supranuclear gaze palsy is highly characteristic and useful for the diagnosis of NPC. NPC is an important underdiagnosed condition, given the availability of treatment and a mean diagnostic delay of 6 years.",[Rare diseases | Metabolomics | Molecular medicine],"{'Rare diseases', 'Laboratory animal science', 'Neurology'}",0.2,0.3333333333,0.3333333333,"{'Metabolomics', 'Molecular medicine'}","{'Laboratory animal science', 'Neurology'}",0.9847222222,0.0,1.0,1.0,0.9847222222
Omics Discovery Index (OmicsDI),S-EPMC3426698,Identification of soil bacteria susceptible to TiO2 and ZnO nanoparticles.,"Because soil is expected to be a major sink for engineered nanoparticles (ENPs) released to the environment, the effects of ENPs on soil processes and the organisms that carry them out should be understood. DNA-based fingerprinting analyses have shown that ENPs alter soil bacterial communities, but specific taxon changes remain unknown. We used bar-coded pyrosequencing to explore the responses of diverse bacterial taxa to two widely used ENPs, nano-TiO(2) and nano-ZnO, at various doses (0, 0.5, 1.0, and 2.0 mg g(-1) soil for TiO(2); 0.05, 0.1, and 0.5 mg g(-1) soil for ZnO) in incubated soil microcosms. These ENPs significantly altered the bacterial communities in a dose-dependent manner, with some taxa increasing as a proportion of the community, but more taxa decreasing, indicating that effects mostly reduced diversity. Some of the declining taxa are known to be associated with nitrogen fixation (Rhizobiales, Bradyrhizobiaceae, and Bradyrhizobium) and methane oxidation (Methylobacteriaceae), while some positively impacted taxa are known to be associated with the decomposition of recalcitrant organic pollutants (Sphingomonadaceae) and biopolymers including protein (Streptomycetaceae and Streptomyces), indicating potential consequences to ecosystem-scale processes. The latter was suggested by a positive correlation between protease activity and the relative abundance of Streptomycetaceae (R = 0.49, P = 0.000) and Streptomyces (R = 0.47, P = 0.000). Our results demonstrate that some metal oxide nanoparticles could affect soil bacterial communities and associated processes through effects on susceptible, narrow-function bacterial taxa.",[Microbial ecology | Metagenomics | Toxicology],"{'Microbiology', 'Environmental sciences', 'Genetics'}",0.0,0.0,0.0,"{'Toxicology', 'Microbial ecology', 'Metagenomics'}","{'Microbiology', 'Environmental sciences', 'Genetics'}",0.7916666667,0.0,1.0,1.0,0.7916666667
Omics Discovery Index (OmicsDI),S-EPMC3969987,Impact of smoking on oncologic outcomes of upper tract urothelial carcinoma after radical nephroureterectomy.,"Cigarette smoking is a common risk factor for developing upper tract urothelial carcinoma (UTUC).To assess the impact of cigarette smoking status, cumulative smoking exposure, and time from cessation on oncologic UTUC outcomes in patients treated with radical nephroureterectomy (RNU).A total of 864 patients underwent RNU at five institutions. The median follow-up in this retrospective study was 50 mo. Smoking history included smoking status, quantity of cigarettes per day (CPD), duration in years, and years from smoking cessation. The cumulative smoking exposure was categorized as light-short-term (? 19 CPD and ? 19.9 yr), moderate (all combinations except light-short-term and heavy-long-term), and heavy-long-term (? 20 CPD and ? 20 yr).RNU with or without lymph node dissection. No patient received neoadjuvant chemotherapy.Univariable and multivariable logistic regression and competing risk regression analyses assessed the effects of smoking on oncologic outcomes.A total of 244 patients (28.2%) never smoked; 297 (34.4%) and 323 (37.4%) were former and current smokers, respectively. Among smokers, 87 (10.1%), 331 (38.3%), and 202 (23.4%) were light-short-term, moderate, and heavy-long-term smokers, respectively. Current smoking status, smoking ? 20 CPD, ? 20 yr, and heavy-long-term smoking were associated with advanced disease (p values ? 0.004), greater likelihood of disease recurrence (p values ? 0.01), and cancer-specific mortality (p values ? 0.05) on multivariable analyses that adjusted for standard features. Patients who quit smoking ? 10 yr prior to RNU did not differ from never smokers regarding advanced tumor stages, disease recurrence, and cancer-specific mortality, but they had better oncologic outcomes then current smokers and those patients who quit smoking <10 yr prior to RNU. The study is limited by its retrospective nature.Cigarette smoking is significantly associated with advanced disease stages, disease recurrence, and cancer-specific mortality in patients treated with RNU for UTUC. Current smokers and those with a heavy and long-term smoking exposure have the highest risk for poor oncologic outcomes. Smoking cessation >10 yr prior to RNU seems to mitigate some detrimental effects. These results underscore the need for smoking cessation and prevention programs.",[Medical toxicology | Oncology | Surgery],"{'Urology and nephrology', 'Oncology'}",0.25,0.5,0.3333333333,"{'Surgery', 'Medical toxicology'}",{'Urology and nephrology'},1.041666667,0.0,1.5,1.0,1.041666667
Omics Discovery Index (OmicsDI),S-EPMC6521571,Influence of gene modification in biological behaviors and responses of mouse lung telocytes to inflammation.,"BACKGROUND:Telocytes play key roles in maintenance of organ/tissue function and prevention of organ injury. However, there are great challenges to investigate telocytes functions using primary telocytes, due to the difficulties of isolation, identification, and stability. The present study aims at constructing continuous cell strain of mouse lung telocyte cell line with stable characters by gene modification and investigating biological behaviors and responses of gene-modified telocytes to inflammation. METHODS:Mouse primary lung telocytes were isolated and identified using immune-labeling markers and immunoelectron microscopy. Primary telocytes were transformed with Simian vacuolating virus 40 small and large T antigen (SV40). Biological characters, behaviors morphology, and proliferation of those gene-modified telocytes were defined and monitored dynamically for 50 generations, as compared with primary lung telocytes. Cell cycle of mouse primary lung telocytes or gene-modified telocytes was detected by flow cytometry. RESULTS:Gene modified telocytes of generations 5, 10, 30 and 50 were observed with telopodes and also showed CD34 and ckit positive. Multiple cellular morphology were also observed on telocyte cell-line under monitor of celliq and enhanced cell proliferation were showed. SV40 transduction was also reduced apoptosis and increased the ratio of S and G2 phases in telocyte cell-line. CONCLUSION:We successfully constructed mouse lung telocyte cell-line which maintained the biological properties and behaviors as primary telocytes and could responses to inflammation induced by LPS. Thus, gene-modified lung telocytes, Telocyte Line, would provide a cell tool for researchers exploring the roles and applications of telocytes involved in physiological and pathological states in future.",[Genetic engineering | Immunogenetics | Cell biology],"{'Cell biology', 'Immunology', 'Genetics'}",0.2,0.3333333333,0.3333333333,"{'Immunogenetics', 'Genetic engineering'}","{'Immunology', 'Genetics'}",0.9777777778,0.0,1.0,1.0,0.9777777778
Omics Discovery Index (OmicsDI),S-EPMC7432349,Investigating the Vascular Toxicity Outcomes of the Irreversible Proteasome Inhibitor Carfilzomib.,"BACKGROUND:Carfilzomib's (Cfz) adverse events in myeloma patients include cardiovascular toxicity. Since carfilzomib's vascular effects are elusive, we investigated the vascular outcomes of carfilzomib and metformin (Met) coadministration. METHODS:Mice received: (i) saline; (ii) Cfz; (iii) Met; (iv) Cfz+Met for two consecutive (acute) or six alternate days (subacute protocol). Leucocyte-derived reactive oxygen species (ROS) and serum NOx levels were determined and aortas underwent vascular and molecular analyses. Mechanistic experiments were recapitulated in aged mice who received similar treatment to young animals. Primary murine (prmVSMCs) and aged human aortic smooth muscle cells (HAoSMCs) underwent Cfz, Met and Cfz+Met treatment and viability, metabolic flux and p53-LC3-B expression were measured. Experiments were recapitulated in AngII, CoCl2 and high-glucose stimulated HAoSMCs. RESULTS:Acutely, carfilzomib alone led to vascular hypo-contraction and increased ROS release. Subacutely, carfilzomib increased ROS release without vascular manifestations. Cfz+Met increased PGF2?-vasoconstriction and LC3-B-dependent autophagy in both young and aged mice. In vitro, Cfz+Met led to cytotoxicity and autophagy, while Met and Cfz+Met shifted cellular metabolism. CONCLUSION:Carfilzomib induces a transient vascular impairment and oxidative burst. Cfz+Met increased vascular contractility and synergistically induced autophagy in all settings. Therefore, carfilzomib cannot be accredited for a permanent vascular dysfunction, while Cfz+Met exert vasoprotective potency.",[Toxicology | Cardiology | Metabolomics],"{'Toxicology', 'Immunology', 'Cardiology'}",0.5,0.6666666667,0.6666666667,{'Metabolomics'},{'Immunology'},1.291666667,0.0,1.0,1.0,1.291666667
Omics Discovery Index (OmicsDI),S-EPMC6478895,Lactobacillus helveticus SBT2171 Induces A20 Expression via Toll-Like Receptor 2 Signaling and Inhibits the Lipopolysaccharide-Induced Activation of Nuclear Factor-kappa B and Mitogen-Activated Protein Kinases in Peritoneal Macrophages.,"Lactobacillus helveticus SBT2171 (LH2171) has been reported to ameliorate the development of autoimmune diseases, such as collagen-induced arthritis and experimental autoimmune encephalitis in mice and inhibit interleukin (IL)-6 production in antigen-presenting cells in vitro. Regulation of cytokine production by antigen-presenting cells might be critical for the anti-inflammatory function of LH2171 in autoimmune diseases. However, the mechanism and contributing components of LH2171-mediated inhibition of IL-6 production are unclear. Here, we examined the anti-inflammatory effects of LH2171 in lipopolysaccharide (LPS)-stimulated peritoneal macrophages, as a model of antigen-presenting cells, necessary for the pathogenesis of autoimmune diseases. LH2171 significantly reduced LPS-induced expression and secretion of IL-6 and IL-1? cytokines. It also inhibited activation of nuclear factor-kappa B and mitogen-activated protein kinases (NF-?B/MAPKs). Moreover, LH2171 induced gene expression of several negative regulators of NF-?B/MAPKs. Among these regulators, A20 was strongly up-regulated at the mRNA and protein levels upon LH2171 treatment. The cell wall fraction of LH2171 also demonstrated a similar increase in A20 gene expression and exerted an anti-inflammatory effect. These results suggest that the cell wall may be one of the anti-inflammatory components of LH2171. Since cell wall components of Gram-positive bacteria are recognized by toll-like receptor 2 (TLR2), we investigated whether the anti-inflammatory effect of LH2171 was mediated by TLR2 signaling. Specifically, LH2171-mediated IL-6 suppression and A20 upregulation in wild-type macrophages were reversed and significantly reduced in TLR2 knock-out macrophages. These results suggest that LH2171 induces A20 expression via TLR2 signaling, inhibiting the activation of NF-?B/MAPKs and cytokine production in antigen-presenting cells. This might contribute to the anti-inflammatory activity of LH2171 on autoimmune diseases.","[Microbiology | Allergy, clinical immunology and immunotherapeutics | Molecular interactions, pathways and networks]","{'Infectious disease', 'Immunology', 'Genomics'}",0.0,0.0,0.0,"{'Molecular interactions, pathways and networks', 'Allergy, clinical immunology and immunotherapeutics', 'Microbiology'}","{'Infectious disease', 'Immunology', 'Genomics'}",0.787037037,0.5,1.0,1.0,0.787037037
Omics Discovery Index (OmicsDI),PRJDB5615,marine metagenome,marine metagenome Raw sequence reads,[Marine biology | Metagenomics | Sequencing],,,,,,,,,,,
Omics Discovery Index (OmicsDI),S-EPMC4762910,PPAR? activation following apoptotic cell instillation promotes resolution of lung inflammation and fibrosis via regulation of efferocytosis and proresolving cytokines.,"Changes in macrophage phenotype have been implicated in apoptotic cell-mediated immune modulation via induction of peroxisome proliferator-activated receptor-? (PPAR?). In this study, we characterized PPAR? induction by apoptotic cell instillation over the course of bleomycin-induced lung injury in C57BL/6 mice. Next, the role of PPAR? activation in resolving lung inflammation and fibrosis was investigated. Our data demonstrate that apoptotic cell instillation after bleomycin results in immediate and prolonged enhancement of PPAR? mRNA and protein in alveolar macrophages and lung. Moreover, PPAR? activity and expression of its target molecules, including CD36, macrophage mannose receptor, and arginase 1, were persistently enhanced following apoptotic cell instillation. Coadministration of the PPAR? antagonist, GW9662, reversed the enhanced efferocytosis, and the reduced proinflammatory cytokine expression, neutrophil recruitment, myeloperoxidase activity, hydroxyproline contents, and fibrosis markers, including type 1 collagen ?2, fibronectin and ?-smooth muscle actin (?-SMA), in the lung by apoptotic cell instillation. In addition, inhibition of PPAR? activity reversed the expression of transforming growth factor-? (TGF-?), interleukin (IL)-10, and hepatocyte growth factor (HGF). These findings indicate that one-time apoptotic cell instillation contributes to anti-inflammatory and antifibrotic responses via upregulation of PPAR? expression and subsequent activation, leading to regulation of efferocytosis and production of proresolving cytokines.","[Respiratory medicine | Immunoproteins and antigens | Molecular interactions, pathways and networks]","{'Respiratory medicine', 'Molecular biology', 'Immunology'}",0.2,0.3333333333,0.3333333333,"{'Molecular interactions, pathways and networks', 'Immunoproteins and antigens'}","{'Molecular biology', 'Immunology'}",0.9847222222,0.0,1.0,1.0,0.9847222222
Omics Discovery Index (OmicsDI),S-EPMC5515270,Real-time optotracing of curli and cellulose in live Salmonella biofilms using luminescent oligothiophenes.,"Extracellular matrix (ECM) is the protein- and polysaccharide-rich backbone of bacterial biofilms that provides a defensive barrier in clinical, environmental and industrial settings. Understanding the dynamics of biofilm formation in native environments has been hindered by a lack of research tools. Here we report a method for simultaneous, real-time, in situ detection and differentiation of the Salmonella ECM components curli and cellulose, using non-toxic, luminescent conjugated oligothiophenes (LCOs). These flexible conjugated polymers emit a conformation-dependent fluorescence spectrum, which we use to kinetically define extracellular appearance of curli fibres and cellulose polysaccharides during bacterial growth. The scope of this technique is demonstrated by defining biofilm morphotypes of Salmonella enterica serovars Enteritidis and Typhimurium, and their isogenic mutants in liquid culture and on solid media, and by visualising the ECM components in native biofilms. Our reported use of LCOs across a number of platforms, including intracellular cellulose production in eukaryotic cells and in infected tissues, demonstrates the versatility of this optotracing technology, and its ability to redefine biofilm research.",[Laboratory techniques | Microbiology | Microbial ecology],"{'Microbiology', 'Biochemistry', 'Biotechnology'}",0.2,0.3333333333,0.3333333333,"{'Microbial ecology', 'Laboratory techniques'}","{'Biotechnology', 'Biochemistry'}",0.9172619048,0.0,1.0,1.0,0.9172619048
Omics Discovery Index (OmicsDI),S-EPMC4990225,Regions of variable DNA methylation in human placenta associated with newborn neurobehavior.,"The placenta regulates the in utero environment and functionally impacts fetal development. Candidate gene studies identified variation in placental DNA methylation is associated with newborn neurologic and behavioral outcomes including movement quality, lethargic behavior, attention, and arousal. We sought to identify novel regions of variable DNA methylation associated with newborn attention, lethargy, quality of movement, and arousal by performing an epigenome-wide association study in 335 infants from a US birth cohort. Methylation status was quantified using the Illumina HumanMethylation450 BeadChip array and associations to newborn outcomes assessed by the NICU Network Neurobehavioral Scales (NNNS) were identified while incorporating established bioinformatics algorithms to control for confounding by cell type composition. Methylation of CpGs within FHIT (cg15970800) and ANKRD11 (cg16710656) demonstrated genome-wide significance (P < 1.8 × 10(-7)) in specific associations with infant attention. CpGs whose differential methylation was associated with all 4 neurobehavioral outcomes were common to 50 genes involved in biological processes relating to cellular adhesion and nervous system development. Comprehensive methylation profiling identified relationships between methylation of FHIT and ANKRD11, which have been previously linked to neurodevelopment and behavioral outcomes in genetic association studies. Subtle changes in DNA methylation of these genes within the placenta may impact normal variation of a newborn's ability to alter and track visual and auditory stimuli. Gene ontology analysis suggested that those genes with variable methylation related to these outcomes are over-represented in biological pathways involved in brain development and placental physiology, supportive of our hypothesis for a key role of the placenta in neurobehavioral outcomes.",[Epigenomics | Developmental biology | Paediatrics],"{'Epigenetics', 'Neurobiology', 'Evolutionary biology'}",0.0,0.0,0.0,"{'Paediatrics', 'Developmental biology', 'Epigenomics'}","{'Epigenetics', 'Neurobiology', 'Evolutionary biology'}",0.7919753086,0.2857142857,1.0,1.0,0.7919753086
Omics Discovery Index (OmicsDI),S-EPMC2782860,Selection of parasites with diminished drug susceptibility by amodiaquine-containing antimalarial regimens in Uganda.,"Amodiaquine (AQ) is paired with artesunate (AS) or sulfadoxine-pyrimethamine (SP) in recommended antimalarial regimens. It is unclear how readily AQ resistance will be selected with combination chemotherapy.We collected 61 Plasmodium falciparum samples from a cohort of Ugandan children randomized for treatment with AQ-SP, AS-AQ, or artemether-lumefantrine (AL) for uncomplicated malaria. In vitro susceptibility to monodesethylamodiaquine (MDAQ) was measured with a histidine-rich protein 2-based enzyme-linked immunosorbent assay, and potential resistance-mediating polymorphisms in pfmdr1 were evaluated.Parasites collected from patients treated with AQ-SP or AS-AQ within the prior 12 weeks were less susceptible to MDAQ (n = 18; mean of the median inhibitory concentration [IC(50)], 62.9 nmol/L; range, 12.7-158.3 nmol/L) than were parasites from those not treated within 12 weeks (n = 43; mean IC(50), 37.5 nmol/L; range, 6.3-184.7 nmol/L; P=.009) or only from those patients in the treatment arm that did not receive AQ (n = 12; mean IC(50), 28.8 nmol/L; range, 6.3-121.8 nmol/L; P = .004). The proportion of strains with polymorphisms expected to mediate diminished response to AQ (pfmdr1 86Y and 1246Y) increased after AQ therapy, although differences were not statistically significant.Prior therapy selected for diminished response to MDAQ, which suggests that AQ-containing regimens may rapidly lose efficacy in Africa. The mechanism of diminished MDAQ response is not fully explained by known mutations in pfmdr1.",[Parasitology | Infectious disease | Pharmacogenomics],"{'Infectious disease', 'Public health and epidemiology', 'Antimicrobial Resistance'}",0.2,0.3333333333,0.3333333333,"{'Parasitology', 'Pharmacogenomics'}","{'Public health and epidemiology', 'Antimicrobial Resistance'}",0.9993055556,0.3333333333,1.0,1.0,0.9993055556
Omics Discovery Index (OmicsDI),S-EPMC6474821,Structural Basis for Graded Inhibition of CREB:DNA Interactions by Multisite Phosphorylation.,"Phosphorylation of the kinase inducible domain (KID) of the cyclic AMP response element binding transcription factor (CREB) regulates its function through several mechanisms. Transcriptional activation occurs following phosphorylation at serine 133, but multisite phosphorylation in a neighboring region termed the CK cassette, residues 108-117, results in inhibition of CREB-mediated transcription. A molecular-level understanding of the mechanism of these opposing reactions has been lacking, in part because of the difficulty of preparing multiply phosphorylated CREB in vitro. By substituting a single residue, we have generated an engineered mammalian CREB in which the CK cassette can be phosphorylated in vitro by casein kinases and have characterized its interactions with cyclic AMP response element DNA. Phosphorylation of the CK cassette promotes an intramolecular interaction between the KID domain and the site of DNA binding, the basic region of the C-terminal basic leucine zipper (bZip) domain. Competition between the phosphorylated KID domain and DNA for bZip binding results in a decreased affinity of CREB for DNA. The binding free energy calculated from the dissociation constant is directly proportional to the number of phosphate groups in the CK cassette, indicating that the DNA binding is regulated by a rheostat-like mechanism. The rheostat is modulated by variation of the concentration of cations such as Mg2+ and by alternative isoforms such as the natural CREB isoform that lacks residues 162-272. Multisite phosphorylation of CREB represents a versatile mechanism by which transcription can be tuned to meet the variable needs of the cell.",[Transcription factors and regulatory sites | Molecular dynamics | Structure analysis],"{'Molecular biology', 'Biophysics', 'Biochemistry'}",0.0,0.0,0.0,"{'Molecular dynamics', 'Transcription factors and regulatory sites', 'Structure analysis'}","{'Molecular biology', 'Biophysics', 'Biochemistry'}",0.6814373898,0.0,1.0,1.0,0.6814373898
Omics Discovery Index (OmicsDI),S-EPMC4190575,The roots of plant defenses: integrative multivariate analyses uncover dynamic behaviors of gene and metabolic networks of roots elicited by leaf herbivory.,"High-throughput analyses have frequently been used to characterize herbivory-induced reconfigurations in plant primary and secondary metabolism in above- and below-ground tissues, but the conclusions drawn from these analyses are often limited by the univariate methods used to analyze the data. Here we use our previously described multivariate time-series data analysis to evaluate leaf herbivory-elicited transcriptional and metabolic dynamics in the roots of Nicotiana attenuata. We observed large, but transient, systemic responses in the roots that contrasted with the pattern of co-linearity observed in the up- and downregulation of genes and metabolites across the entire time series in treated and systemic leaves. Using this newly developed approach for the analysis of whole-plant molecular responses in a time-course multivariate data set, we simultaneously analyzed stress responses in leaves and roots in response to the elicitation of a leaf. We found that transient systemic responses in roots resolved into two principal trends characterized by: (i) an inversion of root-specific semi-diurnal (12 h) transcript oscillations and (ii) transcriptional changes with major amplitude effects that translated into a distinct suite of root-specific secondary metabolites (e.g. alkaloids synthesized in the roots of N. attenuata). These findings underscore the importance of understanding tissue-specific stress responses in the correct day-night phase context and provide a holistic framework for the important role played by roots in above-ground stress responses.","[Plant biology | Molecular interactions, pathways and networks | Systems biology]","{'Molecular biology', 'Biology', 'Plant biology'}",0.2,0.3333333333,0.3333333333,"{'Systems biology', 'Molecular interactions, pathways and networks'}","{'Molecular biology', 'Biology'}",0.9172619048,0.0,1.0,1.0,0.9172619048
Omics Discovery Index (OmicsDI),E-MEXP-2018,Transcription profiling of laser-microdissected cells from laminar abscission zone and petiolar cortical tissue during ethylene-promoted abscission in citrus leaves,Transcription profiling of the ethylene-induced abscission process in laminar abscission zone cells and petiolar cortical cells of debladed mature citrus leaf explants. Samples taken at 24h after ethylene treatment (10 ul/l) were compared.,[Plant biology | Agricultural science | Transcriptomics],"{'Cell biology', 'Plant biology', 'Transcriptomics'}",0.5,0.6666666667,0.6666666667,{'Agricultural science'},{'Cell biology'},1.291666667,0.0,1.0,1.0,1.291666667
Omics Discovery Index (OmicsDI),S-EPMC3246200,Transposase mediated construction of RNA-seq libraries.,"RNA-seq has been widely adopted as a gene-expression measurement tool due to the detail, resolution, and sensitivity of transcript characterization that the technique provides. Here we present two transposon-based methods that efficiently construct high-quality RNA-seq libraries. We first describe a method that creates RNA-seq libraries for Illumina sequencing from double-stranded cDNA with only two enzymatic reactions. We generated high-quality RNA-seq libraries from as little as 10 pg of mRNA (?1 ng of total RNA) with this approach. We also present a strand-specific RNA-seq library construction protocol that combines transposon-based library construction with uracil DNA glycosylase and endonuclease VIII to specifically degrade the second strand constructed during cDNA synthesis. The directional RNA-seq libraries maintain the same quality as the nondirectional libraries, while showing a high degree of strand specificity, such that 99.5% of reads map to the expected genomic strand. Each transposon-based library construction method performed well when compared with standard RNA-seq library construction methods with regard to complexity of the libraries, correlation between biological replicates, and the percentage of reads that align to the genome as well as exons. Our results show that high-quality RNA-seq libraries can be constructed efficiently and in an automatable fashion using transposition technology.",[Laboratory techniques | Experimental design and studies | RNA-Seq],"{'Bioinformatics', 'Molecular biology', 'Molecular genetics'}",0.0,0.0,0.0,"{'RNA-Seq', 'Laboratory techniques', 'Experimental design and studies'}","{'Bioinformatics', 'Molecular biology', 'Molecular genetics'}",0.0,0.0,1.0,1.0,0.0
Omics Discovery Index (OmicsDI),omics-missing-id-1,,GBS data of common bean accessions for BEAN_ADAPT,[Plant biology | Genomics | Agricultural science],,,,,,,,,,,
